2014-10-14 13:47:12 install multiarch-support:i386 <none> 2.13-38+deb7u2
2014-10-14 13:47:12 status half-installed multiarch-support:i386 2.13-38+deb7u2
2014-10-14 13:47:12 status unpacked multiarch-support:i386 2.13-38+deb7u2
2014-10-14 13:47:12 status unpacked multiarch-support:i386 2.13-38+deb7u2
2014-10-14 13:47:12 install findutils:i386 <none> 4.4.2-4
2014-10-14 13:47:12 status half-installed findutils:i386 4.4.2-4
2014-10-14 13:47:12 status unpacked findutils:i386 4.4.2-4
2014-10-14 13:47:12 status unpacked findutils:i386 4.4.2-4
2014-10-14 13:47:12 install gcc-4.7-base:i386 <none> 4.7.2-5
2014-10-14 13:47:12 status half-installed gcc-4.7-base:i386 4.7.2-5
2014-10-14 13:47:12 status unpacked gcc-4.7-base:i386 4.7.2-5
2014-10-14 13:47:12 status unpacked gcc-4.7-base:i386 4.7.2-5
2014-10-14 13:47:12 install libgcc1:i386 <none> 1:4.7.2-5
2014-10-14 13:47:12 status half-installed libgcc1:i386 1:4.7.2-5
2014-10-14 13:47:12 status unpacked libgcc1:i386 1:4.7.2-5
2014-10-14 13:47:12 status unpacked libgcc1:i386 1:4.7.2-5
2014-10-14 13:47:12 install grep:i386 <none> 2.12-2
2014-10-14 13:47:12 status half-installed grep:i386 2.12-2
2014-10-14 13:47:12 status unpacked grep:i386 2.12-2
2014-10-14 13:47:12 status unpacked grep:i386 2.12-2
2014-10-14 13:47:12 install gzip:i386 <none> 1.5-1.1
2014-10-14 13:47:12 status half-installed gzip:i386 1.5-1.1
2014-10-14 13:47:12 status unpacked gzip:i386 1.5-1.1
2014-10-14 13:47:12 status unpacked gzip:i386 1.5-1.1
2014-10-14 13:47:12 install hostname:i386 <none> 3.11
2014-10-14 13:47:12 status half-installed hostname:i386 3.11
2014-10-14 13:47:12 status unpacked hostname:i386 3.11
2014-10-14 13:47:12 status unpacked hostname:i386 3.11
2014-10-14 13:47:12 install insserv:i386 <none> 1.14.0-5
2014-10-14 13:47:12 status half-installed insserv:i386 1.14.0-5
2014-10-14 13:47:12 status unpacked insserv:i386 1.14.0-5
2014-10-14 13:47:12 status unpacked insserv:i386 1.14.0-5
2014-10-14 13:47:12 install liblocale-gettext-perl:i386 <none> 1.05-7+b1
2014-10-14 13:47:12 status half-installed liblocale-gettext-perl:i386 1.05-7+b1
2014-10-14 13:47:12 status unpacked liblocale-gettext-perl:i386 1.05-7+b1
2014-10-14 13:47:12 status unpacked liblocale-gettext-perl:i386 1.05-7+b1
2014-10-14 13:47:12 install libselinux1:i386 <none> 2.1.9-5
2014-10-14 13:47:12 status half-installed libselinux1:i386 2.1.9-5
2014-10-14 13:47:12 status unpacked libselinux1:i386 2.1.9-5
2014-10-14 13:47:12 status unpacked libselinux1:i386 2.1.9-5
2014-10-14 13:47:13 install libsemanage-common:all <none> 2.1.6-6
2014-10-14 13:47:13 status half-installed libsemanage-common:all 2.1.6-6
2014-10-14 13:47:13 status unpacked libsemanage-common:all 2.1.6-6
2014-10-14 13:47:13 status unpacked libsemanage-common:all 2.1.6-6
2014-10-14 13:47:13 install libsemanage1:i386 <none> 2.1.6-6
2014-10-14 13:47:13 status half-installed libsemanage1:i386 2.1.6-6
2014-10-14 13:47:13 status unpacked libsemanage1:i386 2.1.6-6
2014-10-14 13:47:13 status unpacked libsemanage1:i386 2.1.6-6
2014-10-14 13:47:13 install libsepol1:i386 <none> 2.1.4-3
2014-10-14 13:47:13 status half-installed libsepol1:i386 2.1.4-3
2014-10-14 13:47:13 status unpacked libsepol1:i386 2.1.4-3
2014-10-14 13:47:13 status unpacked libsepol1:i386 2.1.4-3
2014-10-14 13:47:13 install libtext-charwidth-perl:i386 <none> 0.04-7+b1
2014-10-14 13:47:13 status half-installed libtext-charwidth-perl:i386 0.04-7+b1
2014-10-14 13:47:13 status unpacked libtext-charwidth-perl:i386 0.04-7+b1
2014-10-14 13:47:13 status unpacked libtext-charwidth-perl:i386 0.04-7+b1
2014-10-14 13:47:13 install libtext-iconv-perl:i386 <none> 1.7-5
